Pair,n01,n10,p_raw,p_Holm,Significant
TL_Aug_30 vs NTL_Aug_30,18,212,4.237771192302503e-37,2.5426627153815016e-36,True
TL_NoAug_30 vs NTL_NoAug_30,31,75,2.9599075127518226e-05,0.00014799537563759112,True
TL_Aug_30 vs TL_NoAug_30,20,4,0.001543879508972168,0.004631638526916504,True
FT_Aug vs TL_Aug_30,5,29,7.997751280618724e-05,0.00031991005122474896,True
FT_NoAug vs TL_NoAug_30,16,14,0.8551321405847059,0.8551321405847059,False
FT_Aug vs FT_NoAug,16,26,0.16491482255329737,0.32982964510659474,False
